X,Y
100000000.0,0.39414593802084175
10200000000.0,0.00035143046339366146
20300000000.0,5.2316339866003937e-05
30400000000.0,1.1272211175483258e-05
40500000000.0,2.82758597008728e-06
50600000000.0,7.710352787692694e-07
60700000000.0,2.2165993239901634e-07
70800000000.0,6.609244725653392e-08
80900000000.0,2.0240655040826153e-08
91000000000.0,6.326542132969259e-09
101100000000.0,2.0095845617703887e-09
111200000000.0,6.467093468386168e-10
121300000000.0,2.1037246385897508e-10
131400000000.0,6.905522314766481e-11
141500000000.0,2.2842819562865573e-11
151600000000.0,7.606531930228593e-12
161700000000.0,2.5476232387160705e-12
171800000000.0,8.576116926744946e-13
181900000000.0,2.900019147774275e-13
192000000000.0,9.845875732986959e-14
202100000000.0,3.354843867538191e-14
212200000000.0,1.1468380683892948e-14
222300000000.0,3.931989648137711e-15
232400000000.0,1.3517279059210968e-15
242500000000.0,4.658365363915199e-16
252600000000.0,1.6090073835784369e-16
262700000000.0,5.569110893830091e-17
272800000000.0,1.9312960751241632e-17
282900000000.0,6.7094400270285136e-18
293000000000.0,2.334768222965457e-18
303100000000.0,8.137154016962832e-19
313200000000.0,2.8400667500775605e-19
323300000000.0,9.925947734536305e-20
333400000000.0,3.473495169158666e-20
343500000000.0,1.2169697489500222e-20
353600000000.0,4.2685579978878906e-21
363700000000.0,1.4987990246665028e-21
373800000000.0,5.26794437216386e-22
383900000000.0,1.8533237619588423e-22
394000000000.0,6.526078968436915e-23
404100000000.0,2.2999822305637692e-23
414200000000.0,8.112401499329429e-24
424300000000.0,2.863585743192144e-24
434400000000.0,1.0115583621343195e-24
444500000000.0,3.5758309951169963e-25
454600000000.0,1.264895337898267e-25
464700000000.0,4.477245944385157e-26
474800000000.0,1.5857476478068786e-26
484900000000.0,5.61969483946995e-27
495000000000.0,1.992674609883088e-27
505100000000.0,7.069604851200327e-28
515200000000.0,2.509456556924267e-28
525300000000.0,8.912124494421177e-29
535400000000.0,3.166588002535702e-29
545500000000.0,1.1256485876450631e-29
555600000000.0,4.003203588056918e-30
565700000000.0,1.4242922998551367e-30
575800000000.0,5.069563570324305e-31
585900000000.0,1.8051602341183885e-31
596000000000.0,6.430263071374581e-32
606100000000.0,2.2914156906392859e-32
616200000000.0,8.168377924459358e-33
626300000000.0,2.9128590035669922e-33
636400000000.0,1.0390823057681848e-33
646500000000.0,3.707854272266047e-34
656600000000.0,1.3235281305435649e-34
666700000000.0,4.7258213484110244e-35
676800000000.0,1.6879166988306666e-35
686900000000.0,6.030460356038338e-36
697000000000.0,2.155122692278741e-36
707100000000.0,7.703925887882188e-37
717200000000.0,2.754656130886535e-37
727300000000.0,9.852232846071432e-38
737400000000.0,3.52460806956569e-38
747500000000.0,1.2612260190145705e-38
757600000000.0,4.5141719227968454e-39
767700000000.0,1.6160828499108362e-39
777800000000.0,5.786911985272583e-40
787900000000.0,2.0726469908863845e-40
798000000000.0,7.425002177697009e-41
808100000000.0,2.6604694640217264e-41
818200000000.0,9.534725028522028e-42
828300000000.0,3.41778000095181e-42
838400000000.0,1.2253608107585662e-42
848500000000.0,4.394058249952885e-43
858600000000.0,1.5759688690921736e-43
868700000000.0,5.653372331895864e-44
878800000000.0,2.0283545360448527e-44
888900000000.0,7.278715180370736e-45
899000000000.0,2.6123927970554574e-45
909100000000.0,9.377638673583877e-46
919200000000.0,3.3668068574581832e-46
929300000000.0,1.2089576241698373e-46
939400000000.0,4.341808328826444e-47
949500000000.0,1.5595362841179218e-47
959600000000.0,5.602530190139613e-48
969700000000.0,2.0129615320644023e-48
979800000000.0,7.233491866404232e-49
989900000000.0,2.5996837221857593e-49
1000000000000.0,9.344408368351493e-50
